---,Type,Item,Prop,Trait,Currency,Pet,PetSpawn,Spawn,AffixSpawn,SpawnLevelFrom,SpawnLevelFixed,SpawnLevelAdd,SpawnLevelMult,Query,RequiredItemLevel,Tags,TagQuery,Quantity,bDropOnGround,TraitParameterRowName,bLimitedTime,bApplyToFortProp,StatusEffectClass,StatusEffectDuration,Notes
FortProp_Deco_ITUWoddenColumn01_08,FortProp,"(RowName="""")","(RowName=""ITU_Column_Wood_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",8,FALSE,None,FALSE,FALSE,None,0,
Pet_Chakawary_Aqua,Pet,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Chakawary03"")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_Forged_Gears,FortProp,"(RowName="""")","(RowName=""FRG_wardrobe_gears_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Pet_Cat_Siamese,Pet,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Cat03"")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_DuskMage_Globe,FortProp,"(RowName="""")","(RowName=""DM_wardrobe_globe_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_ImperialWagon,FortProp,"(RowName="""")","(RowName=""ITU_wagon_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_TentBarracks,FortProp,"(RowName="""")","(RowName=""ITU_Tent_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_TentGenerals,FortProp,"(RowName="""")","(RowName=""ITU_Tent_02"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_CrowsNest,FortProp,"(RowName="""")","(RowName=""ITU_CrowsNest_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_CookoutKit,FortProp,"(RowName="""")","(RowName=""ITU_Firepit_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_JamGear,FortProp,"(RowName="""")","(RowName=""ITU_MusicSet_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_TinBathtub,FortProp,"(RowName="""")","(RowName=""ITU_Bathtub_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_BedStraw,FortProp,"(RowName="""")","(RowName=""ITU_Bed_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_RugHide,FortProp,"(RowName="""")","(RowName=""ITU_Rug_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_TableWood,FortProp,"(RowName="""")","(RowName=""ITU_Table_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_Railmaster_Clock,FortProp,"(RowName="""")","(RowName=""RM_wardrobe_clock_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Pet_Eagle_Crested,Pet,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Eagle04"")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Pet_Chakawary_White,Pet,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Chakawary02"")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Pet_Chakawary_Red,Pet,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Chakawary04"")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_EpicHearth,FortProp,"(RowName="""")","(RowName=""ITU_Hearth_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_ExplorersGlobe,FortProp,"(RowName="""")","(RowName=""ITU_Globe_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_ExplorersTelescope,FortProp,"(RowName="""")","(RowName=""ITU_Telescope_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_PlanningTable,FortProp,"(RowName="""")","(RowName=""ITU_PlanningTable_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_VarkskinRug,FortProp,"(RowName="""")","(RowName=""ITU_VarkRug_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_CozyBed,FortProp,"(RowName="""")","(RowName=""ITU_Bed_02"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RelicCore_FlamingDestroyer_3,Item,"(RowName=""EmberCore_FlamingDestroyer"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",3,FALSE,None,FALSE,FALSE,None,0,
MapBundle_Legendary,Item,"(RowName=""LegendaryMapBundle"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
MapBundle_Rare,Item,"(RowName=""RareMapBundle"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
ResourceBundle_Refined_Rare,Item,"(RowName=""Bundle_RefinedResources_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
ResourceBundle_Refined_Legendary,Item,"(RowName=""Bundle_RefinedResources_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
EnchantingBundle_Essence_Rare,Item,"(RowName=""Bundle_EnchantingEssence_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
EnchantingBundle_Essence_Legendary,Item,"(RowName=""Bundle_EnchantingEssence_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Enchanting_1H_HotOrCold,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,HotorCold1h,FALSE,FALSE,None,0,
Enchanting_1H_ShockAndAwe,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,ShockandAwe1h,FALSE,FALSE,None,0,
Enchanting_1H_Tainted,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,Tainted1h,FALSE,FALSE,None,0,
Enchanting_2H_HotOrCold,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,HotorCold2h,FALSE,FALSE,None,0,
Enchanting_2H_ShockAndAwe,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,ShockandAwe2H,FALSE,FALSE,None,0,
Enchanting_2H_Tainted,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,Tainted2H,FALSE,FALSE,None,0,
Enchanting_Armor_GoblinMedium,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,GoblinMedium,FALSE,FALSE,None,0,
Enchanting_Armor_GoblinSmall,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,GoblinSmall,FALSE,FALSE,None,0,
Enchanting_Armor_HyvidMedium,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,HyvidMedium,FALSE,FALSE,None,0,
Enchanting_Armor_HyvidSmall,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,HyvidSmall,FALSE,FALSE,None,0,
Enchanting_Offhand_DefenderBonus,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,DefenderBonus,FALSE,FALSE,None,0,
Enchanting_Offhand_AttackEnhancement,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,AttackEnhancement,FALSE,FALSE,None,0,
Enchanting_Pet_CriticalStriker,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,CriticalStriker,FALSE,FALSE,None,0,
Enchanting_Pet_ElectricFreeze,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,ElectricFreeze,FALSE,FALSE,None,0,
Enchanting_Pet_NoxiousBurn,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,NoxiousBurn,FALSE,FALSE,None,0,
Enchanting_Pet_BloodyCarnage,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,BloodyCarnage,FALSE,FALSE,None,0,
Enchanting_Pet_Resistance,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,Resistance,FALSE,FALSE,None,0,
