---,AffixText,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,WeightOrCount1,RequireQuest1,EntryType2,Entry2,WeightOrCount2,RequireQuest2,EntryType3,Entry3,WeightOrCount3,RequireQuest3,EntryType4,Entry4,WeightOrCount4,RequireQuest4,EntryType5,Entry5,WeightOrCount5,RequireQuest5,EntryType6,Entry6,WeightOrCount6,RequireQuest6,EntryType7,Entry7,WeightOrCount7,RequireQuest7,EntryType8,Entry8,WeightOrCount8,RequireQuest8,DataCurves,Weight,OwnedGameplayTags,DungeonRequireAllTags,DungeonRequireAnyTags,DungeonExcludeAnyTags,Entries,Notes
ItemLuck_Rare,"NSLOCTEXT(""MapWorksTable"", ""607128F742AEE63FA7284E9BA40810AB"", ""+30% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.3","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
GoldLuck_Rare,"NSLOCTEXT(""MapWorksTable"", ""E576395F443C0C622D0F12A94A805DAF"", ""+30% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.3","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
ItemLuck_Legendary,"NSLOCTEXT(""MapWorksTable"", ""F5ACB03B456D803DC93DB986A5C4C22F"", ""+50% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.5","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
GoldLuck_Legendary,"NSLOCTEXT(""MapWorksTable"", ""57F73C7B4F730225A9AB96B33648F45D"", ""+50% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.5","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
Intro_Fort,"","False","All","0","AddAreaChain","PlayerFort","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
Quest_Goblins,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Goblins","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Dogjockey,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Goblins.Dogjockey","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Hyvid,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Hyvid","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Skeletons,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Skeletons","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Witch,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Skeletons.Witch","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Kronch,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Skeletons.Kronch;QuestPool.Netherim.Kronch","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Frackmaster2000,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Automatons.Frackmaster2000;QuestPool.Spiders.Frackmaster2000","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Syzygyx,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Hyvid","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Spinderella,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Spiders.Spinderella","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Overcharger,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Automatons.Overcharger","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Hexx,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Netherim.Hexx;QuestPool.Spiders.Hexx","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Strongtusk,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Goblins","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Strongtusk","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Wideload,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Goblins;QuestPool.Netherim","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Wideload","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Thunderthighs,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Goblins","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Thunderthighs","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Shriekbeak,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Skeletons;QuestPool.Spiders","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Shriekbeak","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Krronk,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Hyvid","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Krronk","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Brall,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Netherim","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Brall","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Psora,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Hyvid","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Psora","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Sadista,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Netherim","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Sadista","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Squawkclaw,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Voltura","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Squawkclaw","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Quest_Ordrak,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Netherim","1","","SetGameplayTagContainer","QuestPoolTags|QuestPool.Boss.Ordrak","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
DisableBossArenaExit,"","True","PerArea","0","SetProperty","NextAreaRow1|(RowName="""")","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
DisableBossArenaExit_1,"","True","PerArea","0","None","","0","","SetProperty","NextAreaRow1|(RowName="""")","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
DisableBossArenaExit_2,"","True","PerArea","0","None","","0","","None","","0","","SetProperty","NextAreaRow1|(RowName="""")","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
RequireQuest,"","True","All","0","SetProperty","bRequireCompletingAreaQuestToProceed|true","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
ItemAffixes_Physical,"","True","All","0","SetProperty","AffixTags|((GameplayTags=((TagName=""Element.Physical""),(TagName=""Affix.Effect.Physical""))),(GameplayTags=((TagName=""Affix.Defense.Physical""))))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
ItemAffixes_Fire,"","True","All","0","SetProperty","AffixTags|((GameplayTags=((TagName=""Element.Fire""),(TagName=""Affix.Effect.Fire""))),(GameplayTags=((TagName=""Affix.Defense.Fire""))))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
ItemAffixes_Poison,"","True","All","0","SetProperty","AffixTags|((GameplayTags=((TagName=""Element.Poison""),(TagName=""Affix.Effect.Poison""))),(GameplayTags=((TagName=""Affix.Defense.Poison""))))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
ItemAffixes_Electric,"","True","All","0","SetProperty","AffixTags|((GameplayTags=((TagName=""Element.Electric""),(TagName=""Affix.Effect.Electric""))),(GameplayTags=((TagName=""Affix.Defense.Electric""))))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Strongtusk_RemoveWaypoint,"","True","PerArea","0","SetGameplayTagContainer","ThemedPropTags|Gadget.Quest.NetherimPylon;Theme.Generic;Theme.GoblinForest;Gadget.Shrine.Global;Gadget.Shrine.Goblin;Gadget.HarvestingNode.Metal.T1.GoblinIsle;Gadget.HarvestingNode.Stone.T1.GoblinIsle;Gadget.HarvestingNode.Wood.T1.GoblinIsle.GoblinForest","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_BaseArea,"","False","Pick","0","AddAreaChain","GF2_Caves2a_boss_gc3","1","","AddAreaChain","IF4_Caves1","1","","AddAreaChain","EM3_Exterior2","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon,"","False","All","0","GotoRow","EndlessDungeon_Root","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Root,"","False","Pick","0","GotoRow","EndlessDungeon_Undead","0","","GotoRow","EndlessDungeon_Goblins","1","","GotoRow","EndlessDungeon_Hyvid","0","","GotoRow","EndlessDungeon_Voltura","1","","GotoRow","EndlessDungeon_Automatons","1","","GotoRow","EndlessDungeon_Netherim","1","","GotoRow","EndlessDungeon_Spiders","1","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Undead,"","False","Pick","0","GotoRow","EndlessDungeon_Undead_Physical","1","","GotoRow","EndlessDungeon_Undead_Fire","1","","GotoRow","EndlessDungeon_Undead_Poison","1","","GotoRow","EndlessDungeon_Undead_Electric","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Goblins,"","False","Pick","0","GotoRow","EndlessDungeon_Goblins_Green_Caves","1","","GotoRow","EndlessDungeon_Goblins_Green_Forest","1","","GotoRow","EndlessDungeon_Goblins_Blue","1","","GotoRow","EndlessDungeon_Goblins_White","1","","GotoRow","EndlessDungeon_Goblins_Red_Forest","1","","GotoRow","EndlessDungeon_Goblins_Red_Caves","1","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Hyvid,"","False","Pick","0","GotoRow","EndlessDungeon_Hyvid_A","1","","GotoRow","EndlessDungeon_Hyvid_B","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Voltura,"","False","All","0","GotoRow","EndlessDungeon_Monsters_Voltura","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Automatons,"","False","Pick","0","GotoRow","EndlessDungeon_Automatons_Fire","1","","GotoRow","EndlessDungeon_Automatons_Poison","1","","GotoRow","EndlessDungeon_Automatons_Electric","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Netherim,"","False","Pick","0","GotoRow","EndlessDungeon_Netherim_A","1","","GotoRow","EndlessDungeon_Netherim_B","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Spiders,"","False","Pick","0","GotoRow","EndlessDungeon_Spiders_Physical","1","","GotoRow","EndlessDungeon_Spiders_Fire","1","","GotoRow","EndlessDungeon_Spiders_Poison","1","","GotoRow","EndlessDungeon_Spiders_Electric","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Toxic,"NSLOCTEXT(""MapWorksTable"", ""C9DF52444771FBE2884353B4E129F057"", ""Toxic"")","True","All","0","AddMonsterAffixByName","Toxic","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative""),(TagName=""Dungeon.Affix.Hazard"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Dividing,"NSLOCTEXT(""MapWorksTable"", ""79B5B4F844D86D58E56AAFA5CE7BD4EC"", ""Dividing"")","True","All","0","AddMonsterAffixByName","Dividing","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Cloaked,"NSLOCTEXT(""MapWorksTable"", ""A87DC747444679D7D26CF28BD6A3122A"", ""Cloaked"")","True","All","0","AddMonsterAffixByName","Cloaked","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_CorpseEater,"NSLOCTEXT(""MapWorksTable"", ""3E15BC25409C62CE77138698DDEF6F10"", ""Corpse Eater"")","True","All","0","AddMonsterAffixByName","CorpseEater","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_GravityWell,"NSLOCTEXT(""MapWorksTable"", ""F7ED1E654296C86FF1F9F49A90D54E5A"", ""Gravity Well"")","True","All","0","AddMonsterAffixByName","GravityWell","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Shocking,"NSLOCTEXT(""MapWorksTable"", ""203C12F54BFF1847D38FAF813CDDE5AB"", ""Shocking"")","True","All","0","AddMonsterAffixByName","Shocking","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative""),(TagName=""Dungeon.Affix.Hazard"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Siege,"NSLOCTEXT(""MapWorksTable"", ""D82CFC3048C9B958447299B93D3131FE"", ""Siege"")","True","All","0","AddMonsterAffixByName","Siege","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative""),(TagName=""Dungeon.Affix.Hazard"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_NetherWell,"NSLOCTEXT(""MapWorksTable"", ""EFF9AB764E5503C6BFEEDDB1BAE1DA3F"", ""Nether Well"")","True","All","0","AddMonsterAffixByName","NetherWell","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative""),(TagName=""Dungeon.Affix.Hazard"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Blazing,"NSLOCTEXT(""MapWorksTable"", ""E028EC1A4CAD58B890776FBAEC0F5252"", ""Blazing"")","True","All","0","AddMonsterAffixByName","Blazing","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative""),(TagName=""Dungeon.Affix.Hazard"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_BountifulLuck,"","True","All","0","AddPlayerPetAffixByName","BountifulLuck","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Positive"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_BerserkerPet,"","True","All","0","AddPlayerPetAffixByName","BerserkerPet","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Positive"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_WhatRelic,"NSLOCTEXT(""[B7A9878446EEC4384DDF3CA591FA4CDC]"", ""3C894A5C4DE53D6B64F840AC7CA9795B"", ""What Relic?: Relic Disabled"")","True","All","0","SetGameplayTagContainer","DisallowedSkillTags|Skill.EmberWeapon","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
DisablePotion,"NSLOCTEXT(""MapWorksTable"", ""54C94D254C395D872DE2E5BDB9E4BCB3"", ""Potions Disabled"")","True","All","0","SetGameplayTagContainer","DisallowedSkillTags|Skill.Potion","1","","AddGameplayTag","ItemExcludeTags|Item.Potion","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
EndlessDungeon_Corked,"NSLOCTEXT(""[B7A9878446EEC4384DDF3CA591FA4CDC]"", ""9AE4D9CD4F8901B9407852A412A5D109"", ""Corked: Potions Disabled"")","True","All","0","GotoRow","DisablePotion","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Gauntlet,"NSLOCTEXT(""[B7A9878446EEC4384DDF3CA591FA4CDC]"", ""544BEC584D5FF34F014A3096676B864C"", ""Gauntlet: Monsters Respawn"")","True","All","0","SetProperty","MonstersRespawn|true","1","","SetProperty","bTriggerSpawnersHelpDrama|true","1","","SetProperty","bTriggerSpawnersCheckDrama|true","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare""),(TagName=""Dungeon.Affix.Negative"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Chained,"NSLOCTEXT(""[B7A9878446EEC4384DDF3CA591FA4CDC]"", ""9FBBF37248BD179682F5C4A488439D01"", ""Chained: Skill Slot 6 Disabled"")","True","All","0","AddPlayerPetAffixByName","Chained","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Shackled,"NSLOCTEXT(""[B7A9878446EEC4384DDF3CA591FA4CDC]"", ""4E3E5E934D2C33FC2973179453336DD0"", ""Shackled: Skill Slot 5 & 6 Disabled"")","True","All","0","AddPlayerPetAffixByName","Shackled","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Monsters_Goblins_Green_Forest,"","True","All","0","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.Goblin.Stabby.Forest;Character.Monster.Goblin.Lumberjack;Character.Monster.Goblin.Gunner;Character.Monster.Goblin.Hounds.Rider.Forest;Character.Monster.Goblin.Chanter.Normal.Forest","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
EndlessDungeon_Monsters_Goblins_Green_Caves,"","True","All","0","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.Goblin.Stabby.Forest;Character.Monster.Goblin.Miner.Forest;Character.Monster.Goblin.Gunner;Character.Monster.Goblin.Bomber.Forest;Character.Monster.Goblin.Engineer.Forest","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=((TagName=""ItemQuality.Magic""),(TagName=""ItemQuality.Normal""),(TagName=""ItemQuality.Rare"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
