---,LevelRangeString,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixTags,SkillNameTag,ElementTag,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,SetBonusTag,SetBonusCountRequired,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,bRound,TextOnDrop,Notes
Defense_vsNetherim_Small_Primary,"5-100","0","0","NSLOCTEXT(""AffixTable"", ""8D08F52C45396BD102074DA2C2765846"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""E68B8C754DD84F8BF6899FBBE8424EAB"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Netherim"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.3-0.35","0.3-0.45","0.3-0.45","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsNetherim_Small_Secondary,"5-100","0","1","NSLOCTEXT(""AffixTable"", ""EBF5E3894C900CCB352BD2881FB2CF37"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Netherim"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.07-0.18","0.17-0.42","0.17-0.42","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsSkeletons_Large_Primary,"10-100","0","0","NSLOCTEXT(""AffixTable"", ""47AC215243B57B78826BE2A53A61B4DC"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""8C5B0B8C459AFFA09E2C8CA6E12DC207"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Skeleton"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsSkeletons_Large_Secondary,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""EE5FA8C14E0704F6C8F70492AEDE129D"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Weapon.1H""),(TagName=""Affix.Defense.Skeleton"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","","","","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsUndead_Large_Primary,"10-100","0","0","NSLOCTEXT(""AffixTable"", ""56210D6E49D323968DFBCFAD4F857A4C"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""8C5B0B8C459AFFA09E2C8CA6E12DC207"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Undead"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsUndead_Large_Secondary,"10-100","0","1","NSLOCTEXT(""AffixTable"", ""8C84DBF54F8A4B931C91BDAB6571FC06"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Undead"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.15-0.45","0.3-0.75","0.3-0.75","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsUndead_Medium_Primary,"10-100","0","0","NSLOCTEXT(""AffixTable"", ""014CBDA04D802DA00D5D35A15350F3EB"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""FCDCB83A4BA94B84AF468DBD1920D561"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Undead""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.52-0.57","0.55-0.72","0.55-0.72","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsUndead_Medium_Secondary,"10-100","0","1","NSLOCTEXT(""AffixTable"", ""A4CD140E4C8E61E9EF47A785FB2B84AA"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Undead""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.12-0.3","0.15-0.5","0.15-0.5","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsUndead_Small_Primary,"10-100","0","0","NSLOCTEXT(""AffixTable"", ""EA01766B429C12489A533D820DAEB3FF"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""AF4C98824F37897786D77AA6A2A9A096"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Undead"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.3-0.35","0.3-0.45","0.3-0.45","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsUndead_Small_Secondary,"10-100","0","1","NSLOCTEXT(""AffixTable"", ""C2E6C06E4EC9676B2623FCBA3D8BC9DF"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Undead"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.07-0.18","0.17-0.42","0.17-0.42","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVespid_Large_Primary,"10-100","0","0","NSLOCTEXT(""AffixTable"", ""4548BF57493BFC74D9C6479E26001B44"", ""+{0} Poison Defense"")","NSLOCTEXT(""AffixTable"", ""C51A9AE844EEFAF0CBC2C6BED4B0A6BA"", ""Bugproof {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Vespid"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVespid_Large_Secondary,"10-100","0","1","NSLOCTEXT(""AffixTable"", ""5544CC974672640DDCEB4DBAB57D4E7D"", ""+{0} Poison Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Vespid"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.15-0.45","0.3-0.75","0.3-0.75","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVespid_Medium_Primary,"10-100","0","0","NSLOCTEXT(""AffixTable"", ""43642499480C1AF26817419E532BA882"", ""+{0} Poison Defense"")","NSLOCTEXT(""AffixTable"", ""CD9DC9DD47A99E417543D08AC1AD5279"", ""Bugproof {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Vespid""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.52-0.57","0.55-0.72","0.55-0.72","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVespid_Medium_Secondary,"10-100","0","1","NSLOCTEXT(""AffixTable"", ""033A2FEA404D6B69CEFD08AFF57E845C"", ""+{0} Poison Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Vespid""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.12-0.3","0.15-0.5","0.15-0.5","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVespid_Small_Primary,"10-100","0","0","NSLOCTEXT(""AffixTable"", ""CDFE20FB4E99894FF1E56ABF0FA23EB2"", ""+{0} Poison Defense"")","NSLOCTEXT(""AffixTable"", ""D651BD52433CD0E16A0BB2AFACCA9504"", ""Bugproof {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Vespid"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.3-0.35","0.3-0.45","0.3-0.45","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVespid_Small_Secondary,"10-100","0","1","NSLOCTEXT(""AffixTable"", ""4E28778B410BDBC6C5E186944F5C60C2"", ""+{0} Poison Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Vespid"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.07-0.18","0.17-0.42","0.17-0.42","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVoltura_Large_Primary,"31-100","0","0","NSLOCTEXT(""AffixTable"", ""6F1332284ACD0FCF97FA009E635B3AB5"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""0FD6CECA4D8447AC9383EFADA0E1437E"", ""Ceramic Lined {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Voltura"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVoltura_Large_Secondary,"31-100","0","1","NSLOCTEXT(""AffixTable"", ""4199736D49A858B8EB963C87BE8FE6EF"", ""+{0} Electric Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Voltura"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.15-0.45","0.3-0.75","0.3-0.75","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVoltura_Medium_Primary,"31-100","0","0","NSLOCTEXT(""AffixTable"", ""96765F894BFA586A39540E8741791D7B"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""158B8DC4474B0DAB2EE719BF299071CB"", ""Ceramic Lined {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Voltura""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.52-0.57","0.55-0.72","0.55-0.72","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVoltura_Medium_Secondary,"31-100","0","1","NSLOCTEXT(""AffixTable"", ""BDC5B0EF4CD747C7EBCC04A8D20E8DD5"", ""+{0} Electric Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Voltura""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.12-0.3","0.15-0.5","0.15-0.5","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVoltura_Small_Primary,"31-100","0","0","NSLOCTEXT(""AffixTable"", ""4E08898E4E7488A24486CEA85F157B74"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""9BAD14F64CF4F23D0BDC55984DA8C1E8"", ""Ceramic Lined {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Voltura"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.3-0.35","0.3-0.45","0.3-0.45","","(TagName="""")","0","","","","1.200000","False","",""
Defense_vsVoltura_Small_Secondary,"31-100","0","1","NSLOCTEXT(""AffixTable"", ""2E30EC1B431F897B9D0798867F343C4E"", ""+{0} Electric Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Voltura"")))","(TagName="""")","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.07-0.18","0.17-0.42","0.17-0.42","","(TagName="""")","0","","","","1.200000","False","",""
EmberCoreTooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""B85CB47749A3C8C50BEFAF8AA3F3B6F0"", ""An ancient item that goes towards the construction of a Relic."")","","False","False","NoTraits","(GameplayTags=((TagName=""Item.EmberCore"")))","(TagName=""Skill.Relic.Power"")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","","Tooltip"
EmberWeaponChargeRegen,"15-100","100","1","NSLOCTEXT(""AffixTable"", ""E1DBDF0A4FA0A0E41812F7967421B3C0"", ""+{0%}% Relic Energy Generation"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon""),(TagName=""Affix.Skill.Cooldown.RelicActivation""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch"")))","(TagName="""")","(TagName="""")","Ones","None","None","None","None","None","EmberWeaponCharge.Regen.Multiplier","0.01-0.03","0.02-0.045","0.044-0.066","0.044-0.066","","(TagName="""")","0","","","","1.200000","False","",""
EmberWeaponDrainRegen,"15-100","0","1","NSLOCTEXT(""AffixTable"", ""FB462AF44BCE295E93BE50811A81585D"", ""+{0%}% Relic active duration on kill"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon""),(TagName=""Affix.Skill.Duration.RelicActive"")))","(TagName="""")","(TagName="""")","Ones","None","None","None","None","None","EmberWeaponDrainBonus","0.001","0.0025-0.0075","0.005-0.02","0.005-0.02","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingEssence_Legendary_1_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""A0D57C1A4820AC0A4242B598CC042399"", ""1 Legendary Essence"")","","False","False","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingEssence_Legendary_2_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""55B055BD4721C2CF4C8B3E863DE457A9"", ""2 Legendary Essence"")","","False","False","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingEssence_Magic_6_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""BCC52158404D11D0ABB622AF2B38852A"", ""6 Magic Essence"")","","False","False","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingEssence_Magic_8_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""A40F6F824F2B8C304CABA390D8A17525"", ""8 Magic Essence"")","","False","False","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingEssence_Rare_2_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""1E7946D64B1334B660C513ACB2CC5796"", ""2 Rare Essence"")","","False","False","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingEssence_Rare_3_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""027046D64899478BD9AAC7865FDB5E46"", ""3 Rare Essence"")","","False","False","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingEssence_Rare_4_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""30C802CD449E5EF2DB7B97B3B8626E34"", ""4 Rare Essence"")","","False","False","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_1HRangedWeapon_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""2CE07BAD40CEEB90E014A3969B679D4A"", ""Recipe Category: One-Handed Ranged Weapon"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_1HWeapon_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""C2AD038546E36F948F49FD879BB8E8FA"", ""Recipe Category: One-Handed Weapon"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_2HRangedWeapon_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""7A8C044D4947048167FFB1824F9FB343"", ""Recipe Category: Two-Handed Ranged Weapon"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_2HWeapon_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""74EE7F7444B9F27B2E918490A0F87A6A"", ""Recipe Category: Two-Handed Weapon"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_LargeArmor_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""54389C3F489CCD298AB5BF856264A47E"", ""Recipe Category: Large Armor"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_MediumArmor_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""9DDFABD24E39A93C7951E9AD42515710"", ""Recipe Category: Medium Armor"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_Offhand_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""FFCEA8E54EC4721ADCD68F8ACA41A909"", ""Recipe Category: Offhand"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_PetCollar_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""2C5D09AC48C01735554B36947B2AFD02"", ""Recipe Category: Pet Collar"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_PetTag_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""9BDCE29D41F044F5BAFCF39C015851FF"", ""Recipe Category: Pet Tag"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingRecipe_Category_SmallArmor_Tooltip,"1-100","0","1","NSLOCTEXT(""AffixTable"", ""A01C5FF848F8DA49042E128E5A28C9C7"", ""Recipe Category: Small Armor"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
EnchantingSlot,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""D5E09EB44815F82DFDC48492143C13EE"", ""{0} Enchanting Slot"")","","False","False","Default","(GameplayTags=)","(TagName="""")","(TagName="""")","Ones","None","None","None","None","None","EnchantingSlots","1","2-Jan","3-Jan","1","","(TagName="""")","0","","","","1.000000","True","",""
EnchantingSlot_Common,"47-100","100","3","NSLOCTEXT(""AffixTable"", ""F81886834702195D1EA57C80A06ECBFC"", ""{0} Enchanting Slot"")","","False","False","Default","(GameplayTags=((TagName=""Affix.EnchantingSlot""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Collar""),(TagName=""Item.Pet.Tag""),(TagName=""Item.Weapon.Bow""),(TagName=""Item.Weapon.Cannon""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Pistol""),(TagName=""Item.Weapon.Rifle""),(TagName=""Item.Weapon.Shield""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H"")))","(TagName="""")","(TagName="""")","Ones","None","None","None","None","None","EnchantingSlots","1","","","","","(TagName="""")","0","","","","1.000000","True","",""
EnchantingSlot_Legendary,"47-100","100","1","NSLOCTEXT(""AffixTable"", ""C32F567446EFBDACE19C21954168B1BB"", ""{0} Enchanting Slot"")","","False","False","Default","(GameplayTags=((TagName=""Affix.EnchantingSlot""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Collar""),(TagName=""Item.Pet.Tag""),(TagName=""Item.Weapon.Bow""),(TagName=""Item.Weapon.Cannon""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Pistol""),(TagName=""Item.Weapon.Rifle""),(TagName=""Item.Weapon.Shield""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H"")))","(TagName="""")","(TagName="""")","Ones","None","None","None","None","None","EnchantingSlots","","","","1","","(TagName="""")","0","","","","1.000000","True","",""
EnchantingSlot_Magic,"47-100","100","2","NSLOCTEXT(""AffixTable"", ""4DDAFF3D4E6D06E35D365D893BE55D4E"", ""{0} Enchanting Slot"")","","False","False","Default","(GameplayTags=((TagName=""Affix.EnchantingSlot""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Collar""),(TagName=""Item.Pet.Tag""),(TagName=""Item.Weapon.Bow""),(TagName=""Item.Weapon.Cannon""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Pistol""),(TagName=""Item.Weapon.Rifle""),(TagName=""Item.Weapon.Shield""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H"")))","(TagName="""")","(TagName="""")","Ones","None","None","None","None","None","EnchantingSlots","","1","","","","(TagName="""")","0","","","","1.000000","True","",""
