---,BackgroundWidget,ForegroundWidget,Text,Platform,PlayerClassAny,AreaAny,SpokeTagsAny,RegionTagsAny,PrimaryElementTagsAny,AreaLoadingScreenTagsAny,CompletedQuestsAny,UncompletedQuestsAny,HasQuestsAny,CompletedQuestTasksAny,HasQuestTasksAny,Weight,Notes
Info_SkillClassTactics_SS,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""F442AF2B4E68846BD4EA628DD5D8B73A"", ""Adventurer skills apply a bonus to Precision skills. Use Reload to refill Ammo on Precision skills. Maximize the Sharpshooter\'s class abilities with the addition of relic, pet, and legendary skills."")","Any","((RowName=""SharpshooterFemale""),(RowName=""SharpshooterMale""))","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_SkillRelicTactics,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""8F78C99B453C7C58C5852E9008D06617"", ""Equip powerful Relics to unlock additional active and passive skills to use in combination with Legendarium, pet, and class skills."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_SkillPetTactics,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""C1D2BD17448831E5A7B4E99E82607949"", ""Rescue pets to learn additional pet skills. Maximize your character\'s full potential by using this in combination with Legendarium, relic, and class skills."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_Legendarium,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""F8227C0A46DBD81446F2CC9F20F4B075"", ""The Legendarium allows additional passive skills to be assigned to your character by breaking down legendary weapons and armor. Maximize your character\'s full potential by using this in combination with relic, pet, and class skills."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_ED_MysteriousWanderer,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""AA0B315A44CBB8F41E741195ADA7B3A2"", ""A mysterious wanderer is rumored to carry Fazeer Shah\'s lamp in Trevail Point upon completing your quest in Echonok Mountains."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","(""MQ_UnlockChallengeDungeon:Task_TalkTo_MysteriousWanderer"")","1",""
Info_ED_FortPropDjinn,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""6B6D4C7D4A1491A7ECD53E802787229D"", ""After rubbing the Dusty Lamp from the Mysterious Wanderer in Trevail Point and placing Fazeer\'s Dun\'djinn in your fort, Fazeer Shah himself offers you some \""entertainment\""."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Info_ED_Checkpoints,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""356673AB45797C64B06B4AAFD228D4AC"", ""How many of Fazeer Shah’s Dun\'djinn Challenges can you complete? Pick between three challenge dungeons, reach a checkpoint after four consecutive challenges, and resume from your last completed checkpoint at any time."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Info_ED_AffixModifiers,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""532EAD2F4E772AA446E9949D715A2B05"", ""With the exception of major boss checkpoints, each map of Fazeer Shah’s Dun\'djinn Challenges may contain negative and positive modifiers."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Info_ED_BadgeProgress,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""7FB464A94F7CF8B84177A78A06FF5300"", ""Your character\'s badge shows off your progress in Fazeer Shah’s Dun\'djinn Challenges and indicates your highest completed challenge."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Info_ED_Rewards,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""35DE5ABE4055245EC11618B7BFE9BC15"", ""Earn endless rewards including Items, Baubles, Experience, and Fame from Fazeer Shah’s Dun\'djinn Challenges."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","0",""
Info_ED_Baubles,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""0307E8DD47DA1EADA0E16595CC40535E"", ""Spend Baubles to purchase consumable items for Fazeer Shah’s Dun\'djinn Challenges from the Mysterious Wanderer in Trevail Point."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","0",""
Info_ED_Party,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""216A02164A821F930B59AF833707F075"", ""Party members can help complete Fazeer Shah’s Dun\'djinn Challenges by fighting monsters and reviving fallen party members, but progress made only affects the party leader\'s progression."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Lore_ED_Fazeer_00,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""D879391947B5D4DE3F788BAA9C97167B"", ""\""Fortune awaits! Dare to pick a card? Fate is in your hands, adventurer. Well, technically it\'s in my hands, but nevermind the details. You can handle this, right?\"" — Fazeer Shah"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Lore_ED_Fazeer_01,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""DA87F15D42201C2515DCBCA6E881917E"", ""\""Good day, adventurer! Allow me to entertain you, entertaining me. Are you ready for round one? Let\'s have some fun, shall we?\"" — Fazeer Shah"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Lore_ED_Fazeer_02,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""23DA0E59445207FF3CA4C8AE41AE4076"", ""\""All I need you to do is to pick a card, and I\'ll send you into a dimension of fun, fame, and fortune. The further you go, the better this gets! You like fun, fame, and fortune, don\'t you?\"" — Fazeer Shah"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Lore_ED_Fazeer_03,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""A8E6BFAD4497C581186ED69BD3B1675C"", ""\""You know, being immortal and nigh-omnipotent is actually pretty boring. Let’s make a deal: you get thrilling adventures and dazzling loot. I get a break from the tedium of eternity.\"" — Fazeer Shah"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Lore_ED_Fazeer_04,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""3020DCA442115AE4E223798061108481"", ""\""You look like a fun adventurer, unlike that ill-humored Zeraphi sultan I met years ago.\"" — Fazeer Shah"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Lore_ED_Fazeer_05,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""E700605942BE40573D9F608234D73B88"", ""\""Step right up to Fazeer\'s Dun\'djinn Challenge! Big riches! Big prizes! I love it!—I mean, YOU\'LL love it. Trust me, I know about fun challenges.\"" — Fazeer Shah"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Lore_ED_Fazeer_06,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""723CD4B84074E8D32CE63C9E022C2E2B"", ""\""You survived the challenge! Good job, adventurer. What, you want a medal or a badge or something? I suppose you also want a big sign over your head to mark all of your heroic accomplishments, huh? Very well, then.\"" — Fazeer Shah"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""MQ_UnlockChallengeDungeon"")","","","","","1",""
Info_Forts_00,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""A132AA9D445AB6062D4582B3CEA28919"", ""Forts are safe places for you to take a break from combat."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_Forts_01,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""E8006EB943D643641CBD51A671BC4286"", ""All forts are located in passages between areas. Other players may visit your fort, just as you may encounter another player\'s fort."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_Forts_02,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""F9EF7A0841D1E3E4BF8B6CAE5860FE80"", ""Once you\'ve claimed your fort, customize your personal space with decorations, monuments, storage units, and crafting stations."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_Forts_03,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""452EBBF6476ADCF29C8ACE8615B6E0C1"", ""Your fort is shared among your account\'s characters, where you may access your shared stash, pet shelter, and other types of storage."")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
