---,Speakers,Type,TitleText,Text,ButtonText,Voiceover,AudioTableEntry,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,IconPortraitTag,Tags,Weight,ContextEntries,bDefaultSet,Notes
A3C1Q0_Modal_Mayor,"((RowName=""MayorHilde""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C1Q0_Modal_Mayor_Text"", ""The last I was in the library was years ago, back before my paint had completely fallen off. I was looking for adventure, and adventure I found! I had just come ‘round a corner when I saw a pack of goblins! I rolled away at full speed, smashed the control panel, and the door’s been jammed ever since. I wonder what happened to those goblins."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C1Q0_Modal_Mayor_Bolton"")","QuestActive","A3C1Q0","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.MayorBolton"")","(GameplayTags=)","1","","True",""
A3C2Q1_Task_InteractWolfram,"((RowName=""Wolfram""))","Quest","","NSLOCTEXT(""DialogueTable"", ""3496B8E74216F14EE5AA5C9F73306447"", ""Excellent work, this codex rubbing should make translation go quickly. Hmm... these tomes describe a gateway hidden atop the mountain. It\'s called the \""Astral Door\"" and according to this, it leads directly to the heart of Novastraia: the Clockwork Core. \r\n\r\nIt would be cataclysmic if the Netherim gained access to the core. Head to the Machineworks and take the Service Elevator to the summit. Make haste! "")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A3C2Q1_Task_InteractWolfram_Wolfram"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Wolfram"")","(GameplayTags=)","1","","True",""
A3C2Q1_Modal_Wolfram,"((RowName=""Wolfram""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C2Q1_Modal_Wolfram_Text"", ""I\'m learning much with this Codex Impression. For example, this mountain province manufactured dwarven automata for their entire empire. From small scouts to giant sentries, many of them were built right here. The fact that some still function is a testament to dwarven craftsmanship. "")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C2Q1_Modal_Wolfram"")","QuestActive","A3C2Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Wolfram"")","(GameplayTags=)","1","","True",""
A3C2Q1_Modal_Hix,"((RowName=""Hix_Act3""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C2Q1_Modal_Hix_Text"", ""Better put some soup on, looks like our engineer forgot to eat again... Oh, hey boss. Stay safe up there, mountain looks treacherous to me."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C2Q1_Modal_Hix"")","QuestActive","A3C2Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A3C2Q1_Task_TurnIn,"((RowName=""Kenik""),(RowName=""Kenik_Act3""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A3C2Q1_Task_TurnIn_Text"", ""Well if it isn’t Graye’s favorite recruit. Listen up, rookie, I found that Astral Door. Because I\'m such a swell guy, I’ll mark it on your map, heh.\r\n\r\nWhat’s that? Where have I been? Bah! We\'re wasting time, it ain’t gonna find itself! Now go!"")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A3C2Q1_Task_TurnIn_Kenik"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A3C3Q1_Task_InteractWolfram,"((RowName=""Wolfram""))","Quest","","NSLOCTEXT(""DialogueTable"", ""1B27558B403AA54522C9079AA2560AA7"", ""Dear hero, you\'ve returned! The Voltura attacked the town, and it was none other than that rogue Kenik leading the charge. They\'ve abducted Dearest Hix, and some townsfolk too. Misfortunes besiege us at every turn! A new plan is in order. Speak to Mayor Bolton, he\'ll know how best to proceed."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A3C3Q1_Task_InteractWolfram_Wolfram"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Wolfram"")","(GameplayTags=)","1","","True",""
A3C3Q1_Task_InteractMayor,"((RowName=""MayorHilde""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A3C3Q1_Task_InteractMayor_Text"", ""We\'re all shaken up, but now is no time to falter. Pass through the Voltura Village to Bolt Town and then to the Power Line, where they\'re likely holding the townsfolk. Oh, surprised I know such dangerous territory? I may be rusty now, but I used to be quite the explorer. But enough reminiscing, our community is counting on you. Hurry!"")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A3C3Q1_Task_InteractMayor_Bolton"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.MayorBolton"")","(GameplayTags=)","1","","True",""
A3C3Q1_Modal_Wolfram,"((RowName=""Wolfram""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C3Q1_Modal_Wolfram_Text"", ""The Voltura are nothing like the dwarves! They don\'t create, only scavenge! And now they invade this town and kidnap the townsfolk? They\'re monsters! I just hope... I just hope Hix is alright. Please bring him back."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C3Q1_Modal_Wolfram"")","QuestActive","A3C3Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Wolfram"")","(GameplayTags=)","1","","True",""
A3C3Q1_Modal_Mayor,"((RowName=""MayorHilde""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C3Q1_Modal_Mayor_Text"", ""The Voltura have gone too far this time. Kidnapping our citizens? In all my years I\'ve never seen the Voltura stoop so low. Sure, they\'ve tried to carry me off a few times, but I always thought it was because I was made of metal. We cannot let this go unanswered."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C3Q1_Modal_Mayor_Bolton"")","QuestActive","A3C3Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.MayorBolton"")","(GameplayTags=)","1","","True",""
A3C3Q1_Task_RescueHix_01,"((RowName=""HixCaged""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""776423214001831AAFD36BBBF86E566D"", ""Help! There\'s Voltura everywhere! You\'ve got to be careful!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A3C3Q1:Task_SeeBoss","QuestActive","A3C3Q1:Task_KillBoss","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True","echo_prop_hixcage_01_bp"
A3C3Q1_Task_RescueHix_02,"((RowName=""HixCaged""))","Quest","","NSLOCTEXT(""DialogueTable"", ""B412708740D8F6E965C64AAEB70BD8CC"", ""Thank you. I\'ll find my own way back to town."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestComplete","A3C3Q1:Task_RescueHix","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A3C3Q2_Task_InteractHix,"((RowName=""Hix_Act3_Town""))","Quest","","NSLOCTEXT(""DialogueTable"", ""E80017304D67A95B5DB81E9ECDEC669C"", ""You\'re a sight for sore eyes, boss. It\'s bad up here. Automata, spiders, townsfolk, you name it. The mad scientist Shriekbeak is hacking them together to create pawns for the Voltura army. Rescue any remaining townsfolk, and then take care of Shriekbeak."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A3C3Q2_Task_InteractHix_Hixa"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A3C3Q2_Townsfolk01,"((RowName=""Townsfolk_01""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""7BDDD2F541C414B0C169EB947B90EAEE"", ""This place gives me the creeps!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
A3C3Q2_Townsfolk02,"((RowName=""Townsfolk_02""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""852B49B0407CAA9896F6FF93C92CC887"", ""I was about to be toast!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
A3C3Q2_Townsfolk03,"((RowName=""Townsfolk_03""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""583163AE4C3B96D32FF70EA0C2B1111C"", ""What are these things?!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
A3C4Q1_Task_InteractMayor,"((RowName=""MayorHilde""))","Quest","","NSLOCTEXT(""DialogueTable"", ""D57002314BDB26BF5C4D808F4D5D74FF"", ""Our community is whole again, thanks to you. \r\n\r\nThere\'s a storm brewing up on King\'s Plateau. That must be where the Astral Door is. The first place I\'d explore is the Sundered Throne, but you\'ll need to find the Royal Key to get inside. It\'s time to end this Netherim threat once and for all.\r\n\r\nThank you for all your help, hero. Our town--no, the world is counting on you."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A3C4Q1_Task_InteractMayor_Bolton"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.MayorBolton"")","(GameplayTags=)","1","","True",""
A3C4Q1_Modal_Hix,"((RowName=""Hix_Act3_Town""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C4Q1_Modal_Hix_Text"", ""You know, while I was sitting there, captured by those buzzards, I had a chance to think about what I\'d do if I escaped. I told myself I\'d start shootin\' straight with Wolfram, no more beating \'round the bush. So I did, and I think it went over pretty well. Thanks again boss, I owe you one."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C4Q1_Modal_Hix"")","QuestActive","A3C4Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A3C4Q1_Modal_Wolfram,"((RowName=""Wolfram""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C4Q1_Modal_Wolfram_Text"", ""Dear hero! I thought I\'d lost Hix, but you brought him back... And boy did he let me have it! I suppose I should do better, express my appreciation out loud. Dearest Hix deserves better, I won\'t take him for granted again."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C4Q1_Modal_Wolfram"")","QuestActive","A3C4Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Wolfram"")","(GameplayTags=)","1","","True",""
A3C4Q1_Modal_Mayor,"((RowName=""MayorHilde""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C4Q1_Modal_Mayor_Text"", ""The view from King\'s Plateau would be gorgeous, if not for that maelstrom. Stay safe up there, no telling what could happen now."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C4Q1_Modal_Mayor_Bolton"")","QuestActive","A3C4Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.MayorBolton"")","(GameplayTags=)","1","","True",""
A3C4Q1_Modal_Zaya,"((RowName=""Zaya""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A3C4Q1_Modal_Zaya_Text"", ""I overheard Wolfram talking more about the Astral Gate, the tomes suggest that the gate is part of some \""secret knowledge\"" not available to the general dwarven populace. But we already found that library earlier, so where else would this \""secret knowledge\"" be?"")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A3C4Q1_Modal_Zaya"")","QuestActive","A3C4Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
A3C4Q2_Task_InteractGraye,"((RowName=""GeneralGraye_Act3_Town""))","Quest","","NSLOCTEXT(""DialogueTable"", ""C20F91A04DA990A5F4212F99669B126F"", ""I knew you had potential. You’ve saved countless lives, not only Imperial subjects, but innocent souls all over Novastraia. I’m proud to know you, recruit. We all are."")","NSLOCTEXT(""DialogueTable"", ""E57F9B3E42977E3AA28EBFB1748C560E"", ""Thanks!"")","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A3C4Q2_Task_InteractGraye_Graye"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip01,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""0368C5D14B4AC846E527D9A10875BC5D"", ""Yapper... hungry... you mebbee... TASTY?!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip02,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""0B527E6B4F3916493C874D84E844A0F1"", ""Come closer humen... Yapper hungers!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip03,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""0AD7A924489DF1AE66BAAA8B68746151"", ""Yapper free self. Tell goblins. Take humens. Feast. Mmm."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip04,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""672FC0BB46B35C9285A9E9AE4D74ED9D"", ""Wat? Yapper not hiding things. You trust Yapper, yes?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip05,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""25FCB91546B8815FEFEAB7B75C7D0245"", ""You bring pet? Feed Yapper?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip06,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""F486D887495DCC8F631BCE9DCC0C2B64"", ""MINE!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip07,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""82E1A53D40EFE4B8FAD1D8A6F7DDC46C"", ""Grrrr..."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip08,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""4C2D1477414834883B7B308C943F615C"", ""Yapper tell you! Yapper tell you!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip09,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""F7EE5244483901F92607BC82C0925A66"", ""Yapper a good lil\' goblin, yes he is!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip10,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""4CE14753413984004FE749B48ACB553A"", ""Yapper help humans, they feed, yes?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip11,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""1F70153242EFB579459FFC8CF0C88048"", ""Yes, yapper knows. Yapper good helper!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip12,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""BDF3D81A46C6171FDEC6E8801F575FDF"", ""You have treats for Yapper?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip13,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""2BCF44C74E8454CA5AF5CE8EDBE92D4E"", ""No need to be so tasty er… hasty. Yes. Hasty."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip14,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""D26458BF42002A6CBBBFE6A454FD2A29"", ""Yapper can help. If not so hungry…"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip15,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""04E7F5B547FDB8CA9D18159A427A23FD"", ""Yapper can have dragonling snack?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip16,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""727600264FA7CEB0DF569CB6F7EDF076"", ""Ow! No poking Yapper!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip17,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""1E9DE2D1464AB7334759BA87930DEF0C"", ""Yapper not forget what you do to Yapper. Yapper remember."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip18,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""215947FD4911CB3861B523B079BC61EC"", ""You hit hard. Yapper not hit hard, but Yapper sneeeaky."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Yapper_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip01,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""D27BF85F47245A9623CCCCA2912B6D7B"", ""Nothing to see here, move along."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip02,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""779A6F0044CE287DD88901A8EE590FB2"", ""Greetings."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip03,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""4A13AC4E4380BCDCE57D768E8B8CFF34"", ""Hello."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip04,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""97AF4F974DE418C11CF55296DB2403CB"", ""Yes, I\'m still here. How can I help?"")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip05,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""CEC3AB1843F189489C084691E5C2D118"", ""Nice place you\'ve got here."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip06,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""9A6C29574F323116D8BD389EE7FDBFDA"", ""Don\'t mind me as I continue to stand here and watch you work."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip07,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""E156518D4E47D4D57D1427A66B038FA3"", ""I have direct orders to supervise and not interfere."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip01,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""8525914F48D09726C6D45AAB11F15E32"", ""Of course I haven\'t been drinking again!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip02,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""B03ED4004EAABD107D5382B9DF18A2C0"", ""Quit judging me. I\'m just trying to stay hydrated."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip03,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""66F235DC4B409E2F4C9331AAEDA70C0B"", ""I\'m usually out on the field, but the General tells me that I\'ve been too irresponsible. Hmph!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip04,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""741E60B0495FF45554A686B92A56DEF3"", ""Wait, what time is it again?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip05,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""47D8717F4CF27C2C21935B9FC0D99E5C"", ""Quiet down. I\'ve got a splitting headache."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip06,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""77A0C65B4461855B9FDFB48A2BFE1889"", ""Oh, hello."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip07,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""1BC6DD31432AAE06FF7D2CA5C621CDC5"", ""Hack \'n slash? Why, that\'s how I lost my eye! Harr!"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip08,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""598C63EA402F788CBDD7198AE8144072"", ""Another pint! Oh, sorry. Where am I?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip1,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""3DEE4C8645DE2E1A649CFFAB2F89B740"", ""Hmn? Oh, sorry, I was in the middle of a spellbook."")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Zaya_Quips"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
