---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixTags,ElementTag,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,SetBonusTag,SetBonusCountRequired,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,bRound,TextOnDrop,Notes
Damage_vsNetherim_Secondary_2H,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""B98690264F25F7B1CA7AA5B07CD8BFD5"", ""+{0} Damage vs Netherim"")","NSLOCTEXT(""AffixTable"", ""C47C747B4D3E81E58E25F7BCA976A3C7"", ""{0} of Netherim Banishing"")","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Netherim""),(TagName=""Affix.vsNetherim""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Netherim","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Damage_vsUndead_Secondary,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""67C4B0704C95F761553B419E1DA7B5A3"", ""+{0} Damage vs Undead"")","NSLOCTEXT(""AffixTable"", ""72C682FE4DADA593D1B44B863C339F33"", ""Deadhunter {0}"")","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Undead""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Undead","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Damage_vsUndead_Secondary_2H,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""67C4B0704C95F761553B419E1DA7B5A3"", ""+{0} Damage vs Undead"")","NSLOCTEXT(""AffixTable"", ""72C682FE4DADA593D1B44B863C339F33"", ""Deadhunter {0}"")","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Undead""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Undead","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Damage_vsSkeletons_Secondary,"1.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""4A3ECA4346BCF58F8BCFEB9EF5D624D4"", ""+{0} Damage vs Skeletons"")","","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Undead""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Skeleton","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Damage_vsVespid_Secondary,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""230AAE214A29AE7CCC56ED8F7B445B67"", ""+{0} Damage vs Hyvid"")","NSLOCTEXT(""AffixTable"", ""3A2D70B2431E407B243A79887679D1A0"", ""{0} of Vespid Extermination"")","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Vespid""),(TagName=""Affix.vsMonsterType.Vespid""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Vespid","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Damage_vsVespid_Secondary_2H,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""230AAE214A29AE7CCC56ED8F7B445B67"", ""+{0} Damage vs Hyvid"")","NSLOCTEXT(""AffixTable"", ""3A2D70B2431E407B243A79887679D1A0"", ""{0} of Vespid Extermination"")","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Vespid""),(TagName=""Affix.vsMonsterType.Vespid""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Vespid","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Damage_vsVoltura_Secondary,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""E5657CE84DC538EE97196786DBD764BF"", ""+{0} Damage vs Voltura"")","NSLOCTEXT(""AffixTable"", ""95D432764D319683CF5C1493B99D445B"", ""{0} of Voltura Disassembling"")","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Voltura""),(TagName=""Affix.vsMonsterType.Voltura""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Voltura","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Damage_vsVoltura_Secondary_2H,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""E5657CE84DC538EE97196786DBD764BF"", ""+{0} Damage vs Voltura"")","NSLOCTEXT(""AffixTable"", ""95D432764D319683CF5C1493B99D445B"", ""{0} of Voltura Disassembling"")","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.Damage.Voltura""),(TagName=""Affix.vsMonsterType.Voltura""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Voltura","0.46-0.71","0.59-0.8","0.76-0.88","0.76-0.88","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Electric_Large_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""0EE59BBA4F4281F0C8E810BDE1DAAC0C"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""14CE7A82439ADC70CB92EDA535586350"", ""Galvanized {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Electric""),(TagName=""Element.Electric"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.70-0.75","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Electric_Large_Primary_Strong,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""0EE59BBA4F4281F0C8E810BDE1DAAC0C"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""14CE7A82439ADC70CB92EDA535586350"", ""Galvanized {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Electric""),(TagName=""Affix.Defense.ShieldStrong""),(TagName=""Element.Electric"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.84-0.90","0.92-1.04","1.03-1.20","1.03-1.20","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Electric_Large_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""D8E8D2AE4EB3142906D50BADD87B14A1"", ""+{0} Electric Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Electric""),(TagName=""Element.Electric"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.15-0.45","0.3-0.75","0.3-0.75","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Electric_Medium_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""7DF45B7045650CFDBCBDC88990580588"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""FF6657804BEE7CE3BDCCA29C7CC8BE7F"", ""Galvanized {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Electric""),(TagName=""Item.Pet.Collar""),(TagName=""Element.Electric"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.45-0.51","0.52-0.57","0.55-0.72","0.55-0.72","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Electric_Medium_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""C97BA1C445278FCE62B462BBECBD7293"", ""+{0} Electric Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Electric""),(TagName=""Item.Pet.Collar""),(TagName=""Element.Electric"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.12-0.3","0.15-0.5","0.15-0.5","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Electric_Small_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""F7D51E104FE21BA05F7362A2371FE817"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""D705E4DA46F3990BE27D82BCBBC5FDA7"", ""Galvanized {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Electric""),(TagName=""Element.Electric"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.26-0.31","0.3-0.35","0.3-0.45","0.3-0.45","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Electric_Small_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""F24B130144654D9D86C62CB462D9D29E"", ""+{0} Electric Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Electric""),(TagName=""Element.Electric"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.07-0.18","0.17-0.42","0.17-0.42","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Fire_Large_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""E311DDC747CB1742108A949E432DA520"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""92B81F404F6B2E81D75254905E674C8D"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Fire""),(TagName=""Element.Fire"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.70-0.75","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Fire_Large_Primary_Strong,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""E311DDC747CB1742108A949E432DA520"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""92B81F404F6B2E81D75254905E674C8D"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Fire""),(TagName=""Affix.Defense.ShieldStrong""),(TagName=""Element.Fire"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.84-0.90","0.92-1.04","1.03-1.20","1.03-1.20","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Fire_Large_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""149F70F24B8B563B912BFB9F29FCB817"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Fire""),(TagName=""Element.Fire"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.15-0.45","0.3-0.75","0.3-0.75","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Fire_Medium_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""6DABF842438D2F3F56248AA006EA884D"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""177F52E3448DBAE13BF3638241B75424"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Fire""),(TagName=""Item.Pet.Collar""),(TagName=""Element.Fire"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.45-0.51","0.52-0.57","0.55-0.72","0.55-0.72","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Fire_Medium_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""6DABF842438D2F3F56248AA006EA884D"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Fire""),(TagName=""Item.Pet.Collar""),(TagName=""Element.Fire"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.12-0.3","0.15-0.5","0.15-0.5","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Fire_Small_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""3AEDA1BB4406F6001E63D0AC0537F266"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""6A64DB54489C8CAF6EBD8B8FB9C92622"", ""Blazing {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Fire""),(TagName=""Element.Fire"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.26-0.31","0.3-0.35","0.3-0.45","0.3-0.45","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Fire_Small_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""3AEDA1BB4406F6001E63D0AC0537F266"", ""+{0} Fire Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Fire""),(TagName=""Element.Fire"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.07-0.18","0.17-0.42","0.17-0.42","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Ice_Large_Primary,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""62D768B2425B1667E6E7358E27A9D373"", ""+{0} Ice Defense"")","NSLOCTEXT(""AffixTable"", ""D228161846D903CF10044BB0BA567478"", ""Frosted {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Ice""),(TagName=""Element.Ice"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Ice","0.70-0.75","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Ice_Large_Primary_Strong,"1.000000","100.000000","0","1","NSLOCTEXT(""AffixTable"", ""62D768B2425B1667E6E7358E27A9D373"", ""+{0} Ice Defense"")","NSLOCTEXT(""AffixTable"", ""D228161846D903CF10044BB0BA567478"", ""Frosted {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Ice""),(TagName=""Affix.Defense.ShieldStrong""),(TagName=""Element.Ice"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Ice","0.84-0.90","0.92-1.04","1.03-1.20","1.03-1.20","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Physical_Large_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""60FEE4924359D77F0438DFBE6CB3DD22"", ""+{0} Defense"")","NSLOCTEXT(""AffixTable"", ""FF2F4A704469EF373AC0EE8EBBBD3BA0"", ""Hardened {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Physical""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.47-0.52","0.51-0.58","0.57-0.72","0.57-0.72","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Physical_Large_Primary_Strong,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""60FEE4924359D77F0438DFBE6CB3DD22"", ""+{0} Defense"")","NSLOCTEXT(""AffixTable"", ""FF2F4A704469EF373AC0EE8EBBBD3BA0"", ""Hardened {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Physical""),(TagName=""Affix.Defense.ShieldStrong""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.56-0.62","0.61-0.7","0.68-0.86","0.68-0.86","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Physical_Large_Primary_Newbie,"1.000000","1.000000","0","0","NSLOCTEXT(""AffixTable"", ""7C7FEE63473F84267A0120827EFA6659"", ""+{0} Defense"")","NSLOCTEXT(""AffixTable"", ""7B855EA740446A7DF9DDCD808598AF3B"", ""{0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Physical""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.33","","","","","(TagName="""")","0","","","","1.200000","False","","Starting Gear"
Defense_Physical_Large_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""A54166684FCED00195EDF19FD1115C05"", ""+{0} Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Physical""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.04","0.08-0.24","0.23-0.6","0.23-0.6","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Physical_Medium_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""35A057C146CC500D300D4DABCE8288FE"", ""+{0} Defense"")","NSLOCTEXT(""AffixTable"", ""B6E8C5C04F7BC7B33615D08E793B1D3C"", ""Hardened {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Physical""),(TagName=""Item.Pet.Collar""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.31-0.36","0.35-0.38","0.37-0.48","0.37-0.48","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Physical_Medium_Primary_Newbie,"1.000000","1.000000","0","0","NSLOCTEXT(""AffixTable"", ""3A070C0F4FFF9CC9F5555E9FE5B2C959"", ""+{0} Defense"")","NSLOCTEXT(""AffixTable"", ""2E628F8C4CDE23F5FEA35689C59A485F"", ""{0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Physical""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.22","","","","","(TagName="""")","0","","","","1.200000","False","","Starting Gear"
Defense_Physical_Medium_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""C20C21DB4DC81DC47F07918275C362CE"", ""+{0} Defense"")","NSLOCTEXT(""AffixTable"", ""Defense_Physical_Medium_Secondary_ItemTextFormat"", ""{0} of Protection"")","True","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Physical""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.02","0.04-0.16","0.15-0.4","0.15-0.4","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Physical_Small_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""08F58C8F4C84C255EAA4A68C5242C848"", ""+{0} Defense"")","NSLOCTEXT(""AffixTable"", ""18DC248F46BC791CFCB811BF630B9E05"", ""Hardened {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Physical""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.17-0.21","0.2-0.23","0.22-0.28","0.22-0.28","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Physical_Small_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""08715CC5455D5B56FD56ACA2D376C550"", ""+{0} Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Physical""),(TagName=""Element.Physical"")))","(TagName="""")","Defense","None","None","None","None","None","Defense","0.02","0.02-0.09","0.08-0.23","0.08-0.23","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Poison_Large_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""A637E65D443B9C577239638E10A5A475"", ""+{0} Poison Defense"")","NSLOCTEXT(""AffixTable"", ""F9086D684B6C3A5D60D307AAEAEE5C21"", ""Venomous {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Poison""),(TagName=""Element.Poison"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","0.70-0.75","0.76-0.88","0.86-1.04","0.86-1.04","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Poison_Large_Primary_Strong,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""A637E65D443B9C577239638E10A5A475"", ""+{0} Poison Defense"")","NSLOCTEXT(""AffixTable"", ""F9086D684B6C3A5D60D307AAEAEE5C21"", ""Venomous {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Poison""),(TagName=""Affix.Defense.ShieldStrong""),(TagName=""Element.Poison"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","0.84-0.90","0.92-1.04","1.03-1.20","1.03-1.20","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Poison_Large_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""6E3316644AA1BDD3ABA3BBB47FB46C0C"", ""+{0} Poison Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Defense.Poison""),(TagName=""Element.Poison"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.15-0.45","0.3-0.75","0.3-0.75","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Poison_Medium_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""77130F824E320968AB0AAAB7628799DF"", ""+{0} Poison Defense"")","NSLOCTEXT(""AffixTable"", ""44345B3C4477C99F2E14A896C745800D"", ""Venomous {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Poison""),(TagName=""Item.Pet.Collar""),(TagName=""Element.Poison"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","0.45-0.51","0.52-0.57","0.55-0.72","0.55-0.72","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Poison_Medium_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""2E9C99FD4684F28579137A88ADA4483E"", ""+{0} Poison Defense"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Defense.Poison""),(TagName=""Item.Pet.Collar""),(TagName=""Element.Poison"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","","0.12-0.3","0.15-0.5","0.15-0.5","","(TagName="""")","0","","","","1.200000","False","",""
Defense_Poison_Small_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""94EF2F0D4BAC93906B5E21AAB5C6B5F9"", ""+{0} Poison Defense"")","NSLOCTEXT(""AffixTable"", ""E1DB625E4028A4328043ECA5E20DB9AD"", ""Venomous {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.Defense.Poison""),(TagName=""Element.Poison"")))","(TagName="""")","Defense","None","None","None","None","None","DefenseVsElement|Element.Poison","0.26-0.31","0.3-0.35","0.3-0.45","0.3-0.45","","(TagName="""")","0","","","","1.200000","False","",""
