---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bIsPrimaryAffix,TraitType,AffixGameplayTags,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,TextOnDrop,Notes
Damage_Water_Primary_2H,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""AD2B2F8443DF4B0893B1EFBB28555971"", ""{0} Water Damage"")","NSLOCTEXT(""AffixTable"", ""A215D239432841332FA1648A47084DEC"", ""Soaked {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Water","1.1-1.7","1.4-1.9","1.8-2.1","2.64-3","","",""
Damage_Water_Primary_2H_LifeBound,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""AD2B2F8443DF4B0893B1EFBB28555971"", ""{0} Water Damage"")","NSLOCTEXT(""AffixTable"", ""BF32351F4274C4163AE3B1A65ED31157"", ""Phasic Soaked {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Water","1.32-2.04","1.68-2.28","2.16-2.52","2.64-3","","",""
Damage_Water_Primary_Focus,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""49439F974061AB5D7AD5A4A8B2D8D98C"", ""{0} Water Damage"")","NSLOCTEXT(""AffixTable"", ""50DDF6F345EEB1DEAC0ED1B1A70BFBD1"", ""Soaked {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.Global","Damage","None","None","None","None","None","Damage|Element.Water","0.31-0.48","0.39-0.53","0.5-0.59","0.74-0.84","","",""
Damage_Water_Primary_Focus_LifeBound,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""49439F974061AB5D7AD5A4A8B2D8D98C"", ""{0} Water Damage"")","NSLOCTEXT(""AffixTable"", ""F3333AC64E8F24ACC70408A5A1A7F6D1"", ""Phasic Soaked {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.Global;Affix.LifeBound","Damage","None","None","None","None","None","Damage|Element.Water","0.37-0.58","0.47-0.64","0.6-0.71","0.74-0.84","","",""
Damage_Water_Primary_Focus_Strong,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""49439F974061AB5D7AD5A4A8B2D8D98C"", ""{0} Water Damage"")","NSLOCTEXT(""AffixTable"", ""50DDF6F345EEB1DEAC0ED1B1A70BFBD1"", ""Soaked {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.Global;Affix.DamageFocusStrong","Damage","None","None","None","None","None","Damage|Element.Water","0.37-0.58","0.47-0.64","0.6-0.71","0.88-1.0","","",""
Damage_Water_Primary_Focus_Strong_LifeBound,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""49439F974061AB5D7AD5A4A8B2D8D98C"", ""{0} Water Damage"")","NSLOCTEXT(""AffixTable"", ""F3333AC64E8F24ACC70408A5A1A7F6D1"", ""Phasic Soaked {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.Global;Affix.DamageFocusStrong;Affix.LifeBound","Damage","None","None","None","None","None","Damage|Element.Water","0.44-0.70","0.56-0.77","0.72-0.85","0.88-1.0","","",""
Damage_Water_Primary_LifeBound,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""0709AF07481A9B5BCDB695A4253FE3AA"", ""{0} Water Damage"")","NSLOCTEXT(""AffixTable"", ""0146F8E34E383C2AF820179864CB2229"", ""Phasic Soaked {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.1H;Affix.LifeBound","Damage","None","None","None","None","None","Damage|Element.Water","0.92-1.43","1.18-1.6","1.51-1.76","1.85-2.1","","",""
Damage_Water_Secondary,"1.000000","100.000000","0","1","NSLOCTEXT(""AffixTable"", ""FA972EAE4F0FA15938134A94A806DB0E"", ""+{0} Water Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.1H;Item.Weapon.Focus;Item.Pet.Tag","Damage","None","None","None","None","None","Damage|Element.Water","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","",""
Damage_Water_Secondary_2H,"1.000000","100.000000","0","2","NSLOCTEXT(""AffixTable"", ""FA972EAE4F0FA15938134A94A806DB0E"", ""+{0} Water Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Water","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","",""
Damage_Water_Secondary_2H_LifeBound,"1.000000","100.000000","0","2","NSLOCTEXT(""AffixTable"", ""FA972EAE4F0FA15938134A94A806DB0E"", ""+{0} Water Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Water","0.23-0.36","0.3-0.4","0.38-0.44","0.47-0.53","","",""
Damage_Water_Secondary_LifeBound,"1.000000","100.000000","0","1","NSLOCTEXT(""AffixTable"", ""FA972EAE4F0FA15938134A94A806DB0E"", ""+{0} Water Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Water;Item.Weapon.1H;Item.Weapon.Focus;Affix.LifeBound","Damage","None","None","None","None","None","Damage|Element.Water","0.23-0.36","0.3-0.4","0.38-0.44","0.47-0.53","","",""
Damage_Undead_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""CC933AD24DA00E31FE1E53BDDD967CB4"", ""{0} Undead Damage"")","","True","Weapon","Affix.Primary;Affix.Damage.Undead;Item.Weapon.Focus","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Undead","0.31-0.48","0.39-0.53","0.5-0.59","0.74-0.84","","",""
Damage_vsGoblins_Secondary,"10.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""4FE4870D4C9264FCC12F4EABECACF15F"", ""+{0} Damage vs Goblins"")","NSLOCTEXT(""AffixTable"", ""783C82DD4280CD67C1779B8DD0E7EBFD"", ""{0} of Goblin Slaying"")","False","Weapon","Affix.Secondary;Affix.Damage.Goblin;Affix.vsMonsterType.Goblins;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Goblin","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsGoblins_Secondary_2H,"10.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""4FE4870D4C9264FCC12F4EABECACF15F"", ""+{0} Damage vs Goblins"")","NSLOCTEXT(""AffixTable"", ""783C82DD4280CD67C1779B8DD0E7EBFD"", ""{0} of Goblin Slaying"")","False","Weapon","Affix.Secondary;Affix.Damage.Goblin;Affix.vsMonsterType.Goblins;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Goblin","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsGoblins_Secondary_2H_LifeBound,"10.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""4FE4870D4C9264FCC12F4EABECACF15F"", ""+{0} Damage vs Goblins"")","NSLOCTEXT(""AffixTable"", ""783C82DD4280CD67C1779B8DD0E7EBFD"", ""{0} of Goblin Slaying"")","False","Weapon","Affix.Secondary;Affix.Damage.Goblin;Affix.vsMonsterType.Goblins;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Goblin","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Damage_vsGoblins_Secondary_LifeBound,"10.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""4FE4870D4C9264FCC12F4EABECACF15F"", ""+{0} Damage vs Goblins"")","NSLOCTEXT(""AffixTable"", ""783C82DD4280CD67C1779B8DD0E7EBFD"", ""{0} of Goblin Slaying"")","False","Weapon","Affix.Secondary;Affix.Damage.Goblin;Affix.vsMonsterType.Goblins;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag;Affix.LifeBound","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Goblin","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Damage_vsNetherim_Secondary,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""B98690264F25F7B1CA7AA5B07CD8BFD5"", ""+{0} Damage vs Netherim"")","NSLOCTEXT(""AffixTable"", ""86A47D3F498FDCE7F5ECE699373F72E0"", ""{0} of Netherim Banishing"")","False","Weapon","Affix.Secondary;Affix.Damage.Netherim;Affix.vsNetherim;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Netherim","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsNetherim_Secondary_2H,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""B98690264F25F7B1CA7AA5B07CD8BFD5"", ""+{0} Damage vs Netherim"")","NSLOCTEXT(""AffixTable"", ""C47C747B4D3E81E58E25F7BCA976A3C7"", ""{0} of Netherim Banishing"")","False","Weapon","Affix.Secondary;Affix.Damage.Netherim;Affix.vsNetherim;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Netherim","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsNetherim_Secondary_2H_LifeBound,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""B98690264F25F7B1CA7AA5B07CD8BFD5"", ""+{0} Damage vs Netherim"")","NSLOCTEXT(""AffixTable"", ""DBFD82BF419B4113D487B59F79EB49C2"", ""{0} of Netherim Banishing"")","False","Weapon","Affix.Secondary;Affix.Damage.Netherim;Affix.vsNetherim;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Netherim","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Damage_vsNetherim_Secondary_LifeBound,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""B98690264F25F7B1CA7AA5B07CD8BFD5"", ""+{0} Damage vs Netherim"")","NSLOCTEXT(""AffixTable"", ""C13DB48B4F36236158634B94E33F986A"", ""{0} of Netherim Banishing"")","False","Weapon","Affix.Secondary;Affix.Damage.Netherim;Affix.vsNetherim;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag;Affix.LifeBound","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Netherim","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Damage_vsUndead_Secondary,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""67C4B0704C95F761553B419E1DA7B5A3"", ""+{0} Damage vs Undead"")","NSLOCTEXT(""AffixTable"", ""72C682FE4DADA593D1B44B863C339F33"", ""Deadhunter {0}"")","False","Weapon","Affix.Secondary;Affix.Damage.Undead;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Undead","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsUndead_Secondary_2H,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""67C4B0704C95F761553B419E1DA7B5A3"", ""+{0} Damage vs Undead"")","NSLOCTEXT(""AffixTable"", ""72C682FE4DADA593D1B44B863C339F33"", ""Deadhunter {0}"")","False","Weapon","Affix.Secondary;Affix.Damage.Undead;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Undead","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsUndead_Secondary_2H_LifeBound,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""67C4B0704C95F761553B419E1DA7B5A3"", ""+{0} Damage vs Undead"")","NSLOCTEXT(""AffixTable"", ""72C682FE4DADA593D1B44B863C339F33"", ""Deadhunter {0}"")","False","Weapon","Affix.Secondary;Affix.Damage.Undead;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Undead","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Damage_vsUndead_Secondary_LifeBound,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""67C4B0704C95F761553B419E1DA7B5A3"", ""+{0} Damage vs Undead"")","NSLOCTEXT(""AffixTable"", ""72C682FE4DADA593D1B44B863C339F33"", ""Deadhunter {0}"")","False","Weapon","Affix.Secondary;Affix.Damage.Undead;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag;Affix.LifeBound","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Undead","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Damage_vsSkeletons_Secondary,"1.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""4A3ECA4346BCF58F8BCFEB9EF5D624D4"", ""+{0} Damage vs Skeletons"")","","False","Weapon","Affix.Secondary;Affix.Damage.Undead;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Skeleton","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsVespid_Secondary,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""230AAE214A29AE7CCC56ED8F7B445B67"", ""+{0} Damage vs Hyvid"")","NSLOCTEXT(""AffixTable"", ""3A2D70B2431E407B243A79887679D1A0"", ""{0} of Vespid Extermination"")","False","Weapon","Affix.Secondary;Affix.Damage.Vespid;Affix.vsMonsterType.Vespid;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Vespid","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsVespid_Secondary_2H,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""230AAE214A29AE7CCC56ED8F7B445B67"", ""+{0} Damage vs Hyvid"")","NSLOCTEXT(""AffixTable"", ""3A2D70B2431E407B243A79887679D1A0"", ""{0} of Vespid Extermination"")","False","Weapon","Affix.Secondary;Affix.Damage.Vespid;Affix.vsMonsterType.Vespid;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Vespid","0.46-0.71","0.59-0.8","0.76-0.88","0.92-1.05","","",""
Damage_vsVespid_Secondary_2H_LifeBound,"10.000000","100.000000","50","2","NSLOCTEXT(""AffixTable"", ""230AAE214A29AE7CCC56ED8F7B445B67"", ""+{0} Damage vs Hyvid"")","NSLOCTEXT(""AffixTable"", ""3A2D70B2431E407B243A79887679D1A0"", ""{0} of Vespid Extermination"")","False","Weapon","Affix.Secondary;Affix.Damage.Vespid;Affix.vsMonsterType.Vespid;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Vespid","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Damage_vsVespid_Secondary_LifeBound,"10.000000","100.000000","50","1","NSLOCTEXT(""AffixTable"", ""230AAE214A29AE7CCC56ED8F7B445B67"", ""+{0} Damage vs Hyvid"")","NSLOCTEXT(""AffixTable"", ""3A2D70B2431E407B243A79887679D1A0"", ""{0} of Vespid Extermination"")","False","Weapon","Affix.Secondary;Affix.Damage.Vespid;Affix.vsMonsterType.Vespid;Item.Weapon.1H;Item.Weapon.Focus;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest;Item.Pet.Tag;Affix.LifeBound","Damage","None","None","None","None","None","DamageVsTarget|Character.Monster.Vespid","0.55-0.85","0.71-0.96","0.91-1.06","1.1-1.26","","",""
Defense_Electric_Large_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""0EE59BBA4F4281F0C8E810BDE1DAAC0C"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""14CE7A82439ADC70CB92EDA535586350"", ""Galvanized {0}"")","True","Default","Affix.Primary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Electric","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.47-0.52","0.51-0.58","0.57-0.72","0.72-0.79","","",""
Defense_Electric_Large_Primary_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""0EE59BBA4F4281F0C8E810BDE1DAAC0C"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""20E1A9C14F40229771FEFEA9AB1B9AAB"", ""Phasic Galvanized {0}"")","True","Default","Affix.Primary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Electric;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.56-0.62","0.61-0.7","0.68-0.86","0.86-0.95","","",""
Defense_Electric_Large_Primary_Strong,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""0EE59BBA4F4281F0C8E810BDE1DAAC0C"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""14CE7A82439ADC70CB92EDA535586350"", ""Galvanized {0}"")","True","Default","Affix.Primary;Item.Weapon.Shield;Affix.Defense.Electric;Affix.Defense.ShieldStrong","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.56-0.62","0.61-0.7","0.68-0.86","0.86-0.95","","",""
Defense_Electric_Large_Primary_Strong_LifeBound,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""0EE59BBA4F4281F0C8E810BDE1DAAC0C"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""20E1A9C14F40229771FEFEA9AB1B9AAB"", ""Phasic Galvanized {0}"")","True","Default","Affix.Primary;Item.Weapon.Shield;Affix.Defense.Electric;Affix.Defense.ShieldStrong;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.67-0.74","0.73-0.84","0.82-1.03","1.03-1.14","","",""
Defense_Electric_Large_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""D8E8D2AE4EB3142906D50BADD87B14A1"", ""+{0} Electric Defense"")","","False","Default","Affix.Secondary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Electric","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.1-0.3","0.2-0.5","0.5-0.72","","",""
Defense_Electric_Large_Secondary_LifeBound,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""D8E8D2AE4EB3142906D50BADD87B14A1"", ""+{0} Electric Defense"")","","False","Default","Affix.Secondary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Electric;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.1-0.3","0.2-0.5","0.5-0.72","","","",""
Defense_Electric_Medium_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""7DF45B7045650CFDBCBDC88990580588"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""FF6657804BEE7CE3BDCCA29C7CC8BE7F"", ""Galvanized {0}"")","True","Default","Affix.Primary;Item.Armour.Helm;Item.Armour.Shoulders;Affix.Defense.Electric;Item.Pet.Collar","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.31-0.36","0.35-0.38","0.37-0.48","0.47-0.55","","",""
Defense_Electric_Medium_Primary_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""7DF45B7045650CFDBCBDC88990580588"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""9A4CE146461006D0BD2270AFBF67842C"", ""Phasic Galvanized {0}"")","True","Default","Affix.Primary;Item.Armour.Helm;Item.Armour.Shoulders;Affix.Defense.Electric;Item.Pet.Collar;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.37-0.43","0.42-0.46","0.44-0.58","0.56-0.66","","",""
Defense_Electric_Medium_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""C97BA1C445278FCE62B462BBECBD7293"", ""+{0} Electric Defense"")","","False","Default","Affix.Secondary;Item.Armour.Helm;Item.Armour.Shoulders;Affix.Defense.Electric;Item.Pet.Collar","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.08-0.2","0.1-0.5","0.4-1","","",""
Defense_Electric_Medium_Secondary_LifeBound,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""C97BA1C445278FCE62B462BBECBD7293"", ""+{0} Electric Defense"")","","False","Default","Affix.Secondary;Item.Armour.Helm;Item.Armour.Shoulders;Affix.Defense.Electric;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.08-0.2","0.1-0.5","0.4-1","","","",""
Defense_Electric_Small_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""F7D51E104FE21BA05F7362A2371FE817"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""D705E4DA46F3990BE27D82BCBBC5FDA7"", ""Galvanized {0}"")","True","Default","Affix.Primary;Item.Armour.Boots;Item.Armour.Hatch;Item.Armour.Gloves;Affix.Defense.Electric","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.17-0.21","0.2-0.23","0.22-0.28","0.27-0.3","","",""
Defense_Electric_Small_Primary_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""F7D51E104FE21BA05F7362A2371FE817"", ""+{0} Electric Defense"")","NSLOCTEXT(""AffixTable"", ""AF1C1878417887BB4932AA82DA00D8B4"", ""Phasic Galvanized {0}"")","True","Default","Affix.Primary;Item.Armour.Boots;Item.Armour.Hatch;Item.Armour.Gloves;Affix.Defense.Electric;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.2-0.25","0.24-0.28","0.26-0.34","0.32-0.36","","",""
Defense_Electric_Small_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""F24B130144654D9D86C62CB462D9D29E"", ""+{0} Electric Defense"")","","False","Default","Affix.Secondary;Item.Armour.Boots;Item.Armour.Hatch;Item.Armour.Gloves;Affix.Defense.Electric","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","","0.05-0.12","0.11-0.28","0.27-0.35","","",""
Defense_Electric_Small_Secondary_LifeBound,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""F24B130144654D9D86C62CB462D9D29E"", ""+{0} Electric Defense"")","","False","Default","Affix.Secondary;Item.Armour.Boots;Item.Armour.Hatch;Item.Armour.Gloves;Affix.Defense.Electric;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Electric","0.05-0.12","0.11-0.28","0.27-0.35","","","",""
Defense_Fire_Large_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""E311DDC747CB1742108A949E432DA520"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""92B81F404F6B2E81D75254905E674C8D"", ""Blazing {0}"")","True","Default","Affix.Primary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Fire","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.47-0.52","0.51-0.58","0.57-0.72","0.72-0.79","","",""
Defense_Fire_Large_Primary_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""E311DDC747CB1742108A949E432DA520"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""376F060E4F9614961CB8A199D7C2884D"", ""Phasic Blazing {0}"")","True","Default","Affix.Primary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Fire;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.56-0.62","0.61-0.7","0.68-0.86","0.86-0.95","","",""
Defense_Fire_Large_Primary_Strong,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""E311DDC747CB1742108A949E432DA520"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""92B81F404F6B2E81D75254905E674C8D"", ""Blazing {0}"")","True","Default","Affix.Primary;Item.Weapon.Shield;Affix.Defense.Fire;Affix.Defense.ShieldStrong","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.56-0.62","0.61-0.7","0.68-0.86","0.86-0.95","","",""
Defense_Fire_Large_Primary_Strong_LifeBound,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""E311DDC747CB1742108A949E432DA520"", ""+{0} Fire Defense"")","NSLOCTEXT(""AffixTable"", ""376F060E4F9614961CB8A199D7C2884D"", ""Phasic Blazing {0}"")","True","Default","Affix.Primary;Item.Weapon.Shield;Affix.Defense.Fire;Affix.Defense.ShieldStrong;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.67-0.74","0.73-0.84","0.82-1.03","1.03-1.14","","",""
Defense_Fire_Large_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""149F70F24B8B563B912BFB9F29FCB817"", ""+{0} Fire Defense"")","","False","Default","Affix.Secondary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Fire","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","","0.1-0.3","0.2-0.5","0.5-0.72","","",""
Defense_Fire_Large_Secondary_LifeBound,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""149F70F24B8B563B912BFB9F29FCB817"", ""+{0} Fire Defense"")","","False","Default","Affix.Secondary;Item.Armour.Chest;Item.Armour.Pants;Item.Armour.Locomotion;Item.Weapon.Shield;Affix.Defense.Fire;Affix.LifeBound","Defense","None","None","None","None","None","DefenseVsElement|Element.Fire","0.1-0.3","0.2-0.5","0.5-0.72","","","",""
